FID,Id,Flood_poi,NEAR_FID,NEAR_DIST,DEM_FINAL,Slope,Aspect,Curvature
163,0,1,8,1899.850637230000075,4213.7700195,26.7191010,202.8110046,-1.1637700
164,0,1,8,0.000000000000000,3543.2800293,35.2554016,155.1309967,1.1405300
165,0,1,8,0.000000000000000,3349.7299805,38.1355019,344.7170105,4.5328102
166,0,1,9,0.000000000000000,3344.0400391,11.2770996,9.7128496,1.4080900
167,0,1,8,0.000000000000000,3349.7299805,38.1355019,344.7170105,4.5328102
168,0,1,8,0.000000000000000,3543.2800293,35.2554016,155.1309967,1.1405300
169,0,1,8,0.000000000000000,3747.4699707,46.8289986,126.4609985,1.5322300
170,0,1,8,0.000000000000000,3943.6699219,28.0571995,348.5939941,-0.3043370
171,0,1,8,0.000000000000000,3618.1599121,37.1147003,151.2200012,0.9901830
172,0,1,0,0.000000000000000,2044.0400391,26.6861992,174.1759949,0.2433600
173,0,1,2,0.000000000000000,2182.5000000,31.3570995,287.7330017,0.3428100
174,0,1,32,0.000000000000000,2746.1599121,43.0550995,93.4274979,1.4457000
175,0,1,31,0.000000000000000,2343.6999512,42.3712006,343.6910095,-2.0061901
176,0,1,31,0.000000000000000,2343.6999512,42.3712006,343.6910095,-2.0061901
177,0,0,31,0.000000000000000,2516.4499512,27.9438992,265.8030090,1.2281200
178,0,0,31,0.000000000000000,2516.4499512,27.9438992,265.8030090,1.2281200
179,0,0,1,0.000000000000000,2439.4499512,31.7287998,223.8260040,-0.6050390
180,0,1,1,0.000000000000000,2797.6499023,45.2946014,34.3543015,0.5547350
181,0,1,3,0.000000000000000,3499.3701172,44.5847015,328.2510071,-1.1608000
182,0,1,3,0.000000000000000,4506.1899414,40.3361015,139.9029999,1.2832500
183,0,1,3,1592.703651730000047,4938.9501953,19.8778000,182.1920013,1.2354701
184,0,1,2,0.000000000000000,2228.7500000,23.9792004,343.1579895,-1.7197400
185,0,1,2,0.000000000000000,2686.5900879,54.2490005,169.1320038,2.3173800
186,0,1,30,0.000000000000000,1681.0000000,26.1828995,102.5210037,-1.5673400
187,0,1,30,0.000000000000000,2026.0999756,54.6837997,300.1210022,0.6156320
188,0,1,0,1590.791947409999921,2242.3300781,22.8346996,18.3927002,-0.8517970
189,0,1,0,0.000000000000000,2134.6599121,57.4020996,157.0260010,11.4336004
190,0,1,0,0.000000000465661,1560.3699951,30.3490009,114.8109970,0.7079030
191,0,1,22,0.000000000232831,1635.5899658,35.0774994,315.0920105,0.6315850
192,0,1,22,868.715773947000002,2088.0700684,42.8851013,87.7313995,-7.5854101
193,0,0,22,0.000000000000000,2122.0900879,48.9057007,29.1254005,-2.7444401
194,0,1,22,0.000000000000000,1725.5999756,15.0962000,340.1950073,0.1312860
195,0,1,0,0.000000000116415,1561.1500244,37.6839981,98.1354980,-1.3792500
196,0,1,19,0.000000000116415,1675.4399414,20.4564991,103.8990021,-0.6071090
197,0,1,19,0.000000000000000,1761.1999512,28.3959999,79.7332993,-0.1133900
198,0,1,19,0.000000000232831,2009.1999512,37.9295998,26.2380009,0.2681450
199,0,1,19,0.000000000116415,2415.9199219,20.1580009,287.4500122,-1.4320800
200,0,0,19,0.000000000000000,2773.8898926,37.6705017,348.9289856,0.3275040
201,0,1,14,0.000000000000000,1910.7800293,40.3250008,97.4980011,1.6805500
